date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:02:51	36789/36789	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jun%202021%2004:48:27%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_luggagesetnav_300x.jpg?v=1600741649	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_luggagesetnav_300x8636.jpg	(from https://beistravel.com/)
11:02:51	263945/263945	---MCZ	200	added ('OK')	text/html	etag:cacheable:17345329ef763399ad01bdc808267b50	https://beistravel.com/collections/work-accessories	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/work-accessories.html	(from https://beistravel.com/)
11:02:51	238040/238040	---MCZ	200	added ('OK')	text/html	etag:cacheable:a12ad5b507c70b26f55b207befcfcd01	https://beistravel.com/collections/in-flight-accessories	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/in-flight-accessories.html	(from https://beistravel.com/)
11:02:54	4568/4568	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jun%202021%2004:31:09%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/collections/2667x4000_shop-all_130x.jpg?v=1600874012	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/collections/2667x4000_shop-all_130xe403.jpg	(from https://beistravel.com/)
11:02:56	11058/11058	---M--	200	added ('OK')	image/jpeg	date:Tue,%2008%20Jun%202021%2010:57:26%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_moves_200x.jpg?v=1620959937	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_moves_200xd5f3.jpg	(from https://beistravel.com/)
11:02:56	221994/221994	---MCZ	200	added ('OK')	text/html	etag:cacheable:47eb3fec5c556b26537fdee448e03a9a	https://beistravel.com/collections/wallets-and-wristlets	C:/Users/NUC/Desktop/beis/beistravel/beistravel.com/collections/wallets-and-wristlets.html	(from https://beistravel.com/)
11:02:57	13026/13026	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2004:20:26%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_changingorg2_200x.jpg?v=1603903874	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_changingorg2_200x5139.jpg	(from https://beistravel.com/)
11:02:58	9927/9927	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2004:16:47%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/214-DSC02524_200x.jpg?v=1600813412	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/214-DSC02524_200xadce.jpg	(from https://beistravel.com/)
11:02:58	31230/31230	---M--	200	added ('OK')	image/jpeg	date:Wed,%2009%20Jun%202021%2004:29:27%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/beistravel__0021_119133108001_Black_CosmeticCase_12_769x1153_crop_center_237a5b84-c9e1-4be3-97b8-fa3288f370eb_300x.jpg?v=1600742069	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/beistravel__0021_119133108001_Black_CosmeticCase_12_769x1153_crop_center_237a5b84-c9e1-4be3-97b8-fa3288f370eb_300xb044.jpg	(from https://beistravel.com/)
11:02:59	13864/13864	---M--	200	added ('OK')	image/jpeg	date:Thu,%2010%20Jun%202021%2004:28:41%20GMT	http://cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_lifestyle3_200x.jpg?v=1602033075	C:/Users/NUC/Desktop/beis/beistravel/cdn.shopify.com/s/files/1/0032/3423/4479/files/2667x4000_lifestyle3_200x5ffe.jpg	(from https://beistravel.com/)
